province,region,region_lat,region_lng,search_address,address_lat,address_lng
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հր. Աճառյան Նրբ. Գիշերօթիկ Դպ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հր. Աճառյան Փ. 20 Արհեստ.Ուս",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հր. Աճառյան Փ. 1 Նրբ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հր. Աճառյան Փ.   20 Հանր",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Բաբաջանյան Փ. 1 Նրբ",40.221044299999996,44.573806
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ավան Առինջ 2 Մկրշ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ավան Առինջ 2 Մկշ. 1/11 Շ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հր. Աճառյան 2 Նրբ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Աշխաբադի Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ավան Առինջ 1Մկրշ. 1/8 Շ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ավան Առինջ 1 Մկրշ.   7 Մանկ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Նարեկացի Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Բաբաջանյան Փ.   9 Մանկ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Քուչակ Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Հովհ. Հովհաննիսյան Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Թումանյան Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ալմա-Աթայի Փ",40.2164102,44.574883299999996
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Խուդյակովի 3 Նրբ",40.215587299999996,44.5735354
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Դ. Վարուժան Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Իսահակյան Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Սայաթ-Նովա Թղմ",40.157962,44.461938
